3
354.249 3.875 2.5
198.745 3.125 -7.0
261.249 4.375 -4.5
21.7502 4.125 5.0
326.775 2.125 4.5
302.272 4.875 2.0
7.26196 3.625 6.0
8.75061 4.875 5.5
104.782 4.125 -9.0
27.2845 3.375 4.5
18.273 3.125 5.0
40.762 2.125 3.5
207.751 2.625 -8.0
164.251 2.125 -4.0
31.2479 3.125 5.0
12.291 2.875 6.5
322.251 4.125 4.0
116.26 3.375 12.0
58.255 3.625 5.0
272.752 4.125 -3.0
186.751 4.375 0.0
249.752 3.375 -4.5
349.753 4.375 5.5
223.748 2.625 -4.0
7.26196 4.375 6.0
301.251 4.875 2.5
280.764 3.125 -1.5
132.775 3.625 -1.5
83.2489 3.125 10.5
337.758 4.375 11.5
92.785 4.625 1.5
67.7554 3.125 3.0
191.772 2.875 -6.0
214.247 4.875 -8.5
240.257 2.875 -5.5
187.248 4.375 1.5
27.7597 4.375 5.0
202.755 3.125 -5.5
339.749 4.625 5.5
283.78 2.375 -8.5
275.265 4.375 -3.5
239.752 4.125 -5.5
92.2522 3.375 10.5
18.273 2.125 5.0
273.255 4.625 -3.5
7.26196 4.875 6.0
203.253 2.375 -4.5
189.772 2.625 -6.0
116.752 2.375 -1.5
182.28 2.875 -4.5
291.747 3.125 1.0
160.746 3.375 -3.5
12.291 4.125 -5.5
169.758 4.625 -6.5
148.25 3.625 11.5
313.745 3.625 2.5
332.251 4.625 3.5
121.748 3.125 7.0
90.7471 4.375 -10.0
27.2845 3.625 5.0
178.248 2.625 -5.0
244.745 3.125 -6.0
24.7522 2.875 5.0
241.249 3.625 -5.0
165.751 3.625 -6.0
355.746 2.625 5.5
101.28 2.625 11.0
94.2545 2.125 1.0
268.245 2.375 -2.5
11.7719 3.625 5.5
326.25 3.625 3.5
43.7476 2.375 4.0
231.251 2.375 -4.0
8.75061 4.625 5.5
273.749 2.125 -2.0
215.774 3.375 -8.5
267.264 2.625 -2.5
31.2479 4.125 5.5
38.7708 2.625 4.0
175.248 4.875 -5.0
316.766 4.875 2.0
304.253 3.625 1.5
317.249 4.875 2.5
225.75 3.875 -8.0
237.263 4.375 -6.5
318.285 2.875 3.5
158.253 2.625 -4.0
158.253 2.125 -4.5
64.2673 3.875 3.5
295.263 4.625 -2.0
20.7532 4.875 5.0
318.766 4.875 3.0
213.75 2.375 -5.5
26.7517 2.875 5.0
86.7783 2.375 1.5
171.247 3.375 -5.0
86.2454 3.625 4.0
35.2469 2.125 4.5
170.263 2.875 -6.0
214.247 2.625 -6.5
